Phase,River,Date,Julian Day,ID,Discharge,Temp,pH,Cond,Alk,A254,A375,A412,A420,A440,H2O-2H,H2O-18O,DOC,DOC-13C,DOC-14C,DOC-fm,TDN,NO3,NH4,TDP,PO4,SiO2,Na,K,Mg,Ca,As,Ba,Cl,SO4,Li,Rb,Sr,U,F,UTHg,UMeHg,TSS,POC,POC-13C,POC-14C,POC-fm,PON,PON-15N,Sample depth 1,TSS (1),POC (1),POC-13C (1),PON (1),PON-15N (1),Sample depth 2,TSS (2),POC (2),POC-13C (2),PON (2),PON-15N (2)
Arctic-GRO II,Ob,11/25/13,329,Kit 10,8500,0,,146,68.1,0.205,0.039,0.023,0.021,0.016,-118,-15.5,7.8,,,,0.49,152,164,122,42,11.6,9.69,1.02,5.34,18.4,0.52,10,7.4,1.9,3.17,0.71,108,0.28,,2.378,,25.5,2.01,-31.9,-190.7,0.816,211,3,,,,,,,,,,,,
Arctic-GRO II,Ob,2/22/14,53,Kit 11,5250,-0.1,,185,95.6,0.258,0.044,0.025,0.022,0.017,-115,-15,10.6,,,,0.97,406,198,56,17,11.8,10.25,1.07,7.18,30.3,0.68,29,7.1,3.4,3.6,0.8,173,0.45,,2.521,,3.5,1.08,-31.6,-242.3,0.764,75,3.1,,,,,,,,,,,,
Arctic-GRO II,Ob,4/2/14,92,Kit 12,4920,-0.1,,176,118.4,0.166,0.026,0.015,0.013,0.01,-119,-14.6,7.3,,,,0.85,370,296,49,14,12.7,12.25,1.2,8.54,36.6,0.4,21,7.8,4.1,4.11,0.91,214,0.63,,6.825,,9.2,1.11,-34.1,-361.9,0.643,89,-1.1,,,,,,,,,,,,
Arctic-GRO II,Ob,6/20/14,171,Kit 13,33900,11,,91,33,0.448,0.084,0.047,0.041,0.031,-132,-14.8,15.7,,,,0.44,32,8,37,13,4.1,4.24,1.15,2.92,10.8,0.73,14,3.3,1.9,1.7,0.73,62,0.1,,9.36,,18.4,0.89,-29.2,-257.2,0.749,99,3.9,6,97.8,2.14,-28.9,232,2.4,,,,,,
Arctic-GRO II,Ob,8/2/14,214,Kit 14,31600,15.2,,117,47,0.459,0.074,0.039,0.034,0.025,-115,-14.4,16,,,,0.49,48,14,68,24,4.8,5.26,1.11,3.64,15,1.22,16,3.8,1.7,2.1,0.81,86,0.12,,5.469,,48.1,1.77,-29.2,-249.3,0.757,213,4.9,6,1.8,1.54,-30.1,143,4.4,,,,,,
Arctic-GRO II,Ob,10/26/14,299,Kit 15,9830,0.2,,,51.2,0.453,0.083,0.046,0.04,0.03,-112,-15,11.8,,,,0.45,137,58,103,24,10.4,8.37,0.82,4.33,15.7,0.94,12,6.4,1.3,2.56,0.59,85,0.35,,3.34,,5.4,1.06,-28.2,-235.5,0.77,109,5.1,,,,,,,,,,,,
Arctic-GRO II,Ob,12/14/14,348,Kit 16,9790,-0.1,,169,79.3,0.351,0.069,0.041,0.037,0.029,-113,-15.2,8.7,,,,0.59,165,157,59,18,10,9.1,0.93,5.63,24.2,0.75,19,5.9,1.8,3,0.67,134,0.47,,2.348,,14.1,0.94,-31.1,-366.7,0.638,90,2.7,,,,,,,,,,,,
Arctic-GRO II,Ob,1/31/15,31,Kit 17,6330,-0.1,,254,103.5,0.302,0.059,0.036,0.033,0.027,-113,-14.9,8,,,,0.73,288,259,109,28,7.9,9.78,1.13,7.09,31.5,0.84,29,6.4,2.9,3.28,0.91,173,0.59,,2.392,,16.7,,,-280.6,0.725,,,,,,,,,,,,,,
Arctic-GRO II,Ob,3/31/15,90,Kit 18,5360,-0.1,,356,170.2,0.444,0.084,0.05,0.045,0.035,-144,-19.3,12.7,,,,1.26,583,460,39,18,11.5,17.6,1.82,12.3,53,0.97,36,11.6,5.6,5.89,1.45,297,0.94,,2.262,,10.4,1.43,-28.6,-306.2,0.699,97,4.3,,,,,,,,,,,,
Arctic-GRO II,Ob,5/31/15,151,Kit 19,35100,7,,23,9.2,0.433,0.087,0.051,0.046,0.036,-149,-20.1,10.3,,,,0.23,8,2,90,35,0.6,1.56,0.57,0.84,2.2,0.53,5,1.1,0.3,0.75,0.77,14,0.19,,6.17,,10.3,1.8,-28.6,-154.4,0.852,173,3.6,2,12.4,1.18,-29.6,161,3.6,,,,,,
Arctic-GRO II,Ob,7/26/15,207,Kit 20,33100,14.6,,64,49.8,0.513,0.091,0.051,0.045,0.034,-111,-14.7,12.2,,,,0.45,52,18,70,25,5.8,5.26,1.54,3.49,16,1.58,22,3.6,1.6,2.09,1.21,91,0.26,,5.431,,37.2,0.85,-29.4,-269.6,0.736,148,5.2,10,74.8,0.85,-29.6,105,5.3,,,,,,
Arctic-GRO II,Ob,9/2/15,245,Kit 21,33200,11.5,,146,56.2,0.609,0.111,0.062,0.054,0.041,-110,-13.8,14.8,,,,0.47,69,7,62,17,5.9,6.22,1.12,4.23,16.2,1.35,21,5.1,1.7,2.31,1.03,96,0.2,,7.67,,9.1,1.02,-31,-137.8,0.869,105,4.1,18,20.8,1.4,-30.8,129,3.9,10,10,0.89,-31.2,122,5.1
Arctic-GRO II,Ob,11/29/15,333,Kit 22,8580,0.1,,153,62.3,0.425,0.084,0.049,0.044,0.034,-108,-15,10.6,,,,0.5,167,39,41,20,8.2,6.67,0.75,4.43,18,0.83,18,4.8,2.1,2.49,0.57,103,0.34,,4.61,,10.8,0.82,-30.2,-251.4,0.755,74,3.4,,,,,,,,,,,,
Arctic-GRO II,Ob,2/14/16,45,Kit 23,7490,0.1,,190,93.7,0.309,0.062,0.037,0.034,0.027,-121,-15.5,8.1,,,,0.72,325,216,35,18,12.2,9.57,0.99,6.62,26.4,0.69,18,7.2,2.9,3.21,0.86,157,0.46,,3.68,,1.6,1.01,-32.5,-195.4,0.811,99,0.7,,,,,,,,,,,,
Arctic-GRO II,Ob,4/17/16,108,Kit 24,5660,0.1,,139,111.4,0.176,0.039,0.027,0.025,0.021,-112,-15.8,4.7,,,,0.7,214,337,56,18,11.7,11,1.06,7.4,31.2,0.45,15,7.6,3.3,3.58,0.84,181,0.63,,2.04,,10.8,1.01,-36.3,-211.9,0.794,100,-3.5,,,,,,,,,,,,
Arctic-GRO II,Ob,6/27/16,179,Kit 25,32100,18.5,,94,51.7,0.42,0.077,0.043,0.038,0.029,-132,-16,10.5,,,,0.43,51,9,25,20,4.5,5.87,1.46,3.66,15.4,0.94,21,4.6,2.3,2.22,1.05,93,0.13,,11.01,,18.3,0.93,-31.6,-224.5,0.782,176,4.6,14,58.1,1.52,-30.1,184,3.8,10,41.7,1.39,-30.1,175,4.3
Arctic-GRO II,Ob,8/27/16,240,Kit 26,15500,16,,179,77.5,0.332,0.064,0.04,0.037,0.03,-112,-14.3,8.7,,,,0.3,0,9,28,19,4.1,7.98,1.17,5.58,21.5,1.12,23,6,2.5,2.79,0.84,127,0.5,,9.94,,4.4,2.31,-31.1,-363.1,0.642,342,4.3,8,9.3,1.28,-31.7,235,3.7,4,8.3,1.36,-32,299,3.7
Arctic-GRO II,Ob,10/29/16,303,Kit 27,7320,0.2,,202,86.5,0.247,0.043,0.025,0.023,0.018,-112,-15,6.9,,,,0.4,127,46,16,18,7.4,9.81,0.99,6.04,23.2,0.76,16,7.9,2.4,3.07,0.67,136,0.71,,2.16,,20.8,1.25,-32.7,-280.6,0.725,189,3.3,,,,,,,,,,,,
Arctic-GRO II,Ob,12/4/16,339,Kit 28,6370,-0.1,,266,111,0.195,0.035,0.021,0.019,0.016,-113,-15.2,5.7,,,,0.51,152,154,22,15,9.1,12.2,1.17,7.5,30.8,0.63,26,9.2,4,3.95,0.76,180,0.91,,4.36,,3,0.93,-32.5,-245.9,0.76,130,3.2,,,,,,,,,,,,
Arctic-GRO III,Ob,2/12/17,43,Kit 30,5190,-0.1,,,134,0.107,0.013,0.007,0.006,0.005,-114,-14.9,5.3,,,,0.8,280,488,19,3,10.9,14.2,1.28,8.54,37.4,,10,9.6,4.3,4.28,1.01,223,0.76,,5.15,,4.7,1.4,-32.5,-291.2,0.715,161,3.5,,,,,,,,,,,,
Arctic-GRO III,Ob,4/23/17,113,Kit 31,5810,0.1,,,139.3,0.097,0.017,0.012,0.011,0.012,-114,-15.3,4,,,,0.96,380,506,14,6,10.6,14.4,1.27,8.67,38.3,,18,9.3,4.9,4.25,0.92,232,0.82,,2.88,,9,0.66,-36.8,-348.4,0.657,87,-1.3,,,,,,,,,,,,
Arctic-GRO III,Ob,6/18/17,169,Kit 32,35200,7,,,40.5,0.421,0.08,0.043,0.037,0.026,-124,-16.3,11.8,,,,0.41,78,24,34,14,4.2,6.59,1.38,3.21,13.6,,16,5.4,3,2.09,0.91,84,0.12,,3.04,,2.5,1.11,-29,-238,0.768,169,7.1,5,24.8,1.07,-32.2,221,6.3,7,27.2,0.79,-31.6,185,5
Arctic-GRO III,Ob,8/20/17,232,Kit 33,21700,4,,,63.4,0.424,0.07,0.036,0.031,0.021,-102,-13.4,11.8,,,,0.47,121,12,,,6.4,8.85,1.69,4.57,18.6,,16,6,2.5,2.91,1,115,0.21,,2.29,,16.5,1.14,-30.7,-251.9,0.754,298,6.8,7,40.5,1.27,-31.6,227,3.5,3,22.5,1.33,-31.6,155,5.9
Arctic-GRO III,Ob,10/29/17,302,Kit 34,10800,0.2,,,67.9,0.3,0.051,0.027,0.023,0.016,-108,-14.2,8.9,,,,0.42,158,64,52,15,8.3,8.61,0.79,4.75,18.9,,12,6.2,2.1,2.72,0.61,114,0.42,,2.77,,7.2,1.14,-29.7,-292.4,0.713,114,6.7,,,,,,,,,,,,
Arctic-GRO III,Ob,12/3/17,337,Kit 35,5700,0.3,,,75.2,0.282,0.046,0.024,0.02,0.014,-108,-14.4,8.5,,,,0.46,180,120,55,16,12,9.24,0.86,5.17,20.8,,15,6.3,2.5,2.82,0.62,125,0.44,,4.89,,4,0.78,-30.7,,,67,4.2,,,,,,,,,,,,
Arctic-GRO III,Ob,1/28/18,28,Kit 36,5270,0.5,,,52.6,0.208,0.028,0.014,0.012,0.008,-111,-14.8,6.6,,,,0.7,245,243,55,15,14.2,10.86,1.07,5.99,20.9,0.59,14,7.9,2.7,3.07,0.79,143,0.39,76,,,9.6,1.07,-32.8,-280.3,0.726,101,3.5,,,,,,,,,,,,
